'y-axis saved as y
'x,TrBiI4_pure_ground_exported.raw_1,Diff,Ycalc
13.5025223,178,10.2400634,167.759937
13.5229576,188,20.6976634,167.302337
13.5433929,193,25.9956058,167.004394
13.5638283,188,21.3793807,166.620619
13.5842636,195,28.7316334,166.268367
13.6046989,150,-16.0291101,166.02911
13.6251342,174,8.06013717,165.939863
13.6455695,183,16.9403883,166.059612
13.6660048,165,-1.49659566,166.496596
13.6864402,173,5.534636,167.465364
13.7068755,212,42.6218932,169.378107
13.7273108,175,2.02732312,172.972677
13.7477461,175,-4.52746928,179.527469
13.7681814,198,6.72843167,191.271568
13.7886167,238,25.7763285,212.223672
13.8090521,267,17.0060996,249.9939
13.8294874,314,-5.58381541,319.583815
13.8499227,497,53.3111,443.6889
13.870358,629,24.4505088,604.549491
13.8907933,587,-61.1788788,648.178879
13.9112286,497,-24.0979331,521.097933
13.931664,346,-27.2180488,373.218049
13.9520993,243,-6.28967895,249.289679
13.9725346,201,5.44060307,195.559397
13.9929699,202,25.717938,176.282062
14.0134052,166,-1.14350917,167.143509
14.0338405,157,-4.7602928,161.760293
14.0542759,179,20.8100694,158.189931
14.0747112,152,-3.62001214,155.620012
14.0951465,166,12.348152,153.651848
14.1155818,158,5.93094192,152.069058
14.1360171,145,-5.74483406,150.744834
14.1564524,180,30.4002533,149.599747
14.1768878,183,34.4197725,148.580228
14.1973231,160,12.3547591,147.645241
14.2177584,155,8.24719153,146.752808
14.2381937,146,0.142491013,145.857509
14.258629,149,4.01080994,144.98919
14.2790643,116,-28.217215,144.217215
14.2994997,184,40.5848646,143.415135
14.319935,150,7.42046625,142.579534
14.3403703,150,8.05522511,141.944775
14.3608056,147,5.62945596,141.370544
14.3812409,158,17.2296547,140.770345
14.4016762,158,17.9064829,140.093517
14.4221116,143,3.63511228,139.364888
14.4425469,135,-3.82789186,138.827892
14.4629822,164,25.643145,138.356855
14.4834175,149,11.11049,137.88951
14.5038528,130,-7.42440251,137.424403
14.5242881,120,-16.9615063,136.961506
14.5447235,139,2.49920449,136.500796
14.5651588,133,-3.04224476,136.042245
14.5855941,133,-2.58582892,135.585829
14.6060294,142,6.86847677,135.131523
14.6264647,152,17.3206967,134.679303
14.6469,121,-13.229145,134.229145
14.6673354,123,-10.7810246,133.781025
14.6877707,125,-8.33491882,133.334919
14.708206,130,-2.89080456,132.890805
14.7286413,123,-9.44865914,132.448659
14.7490766,137,4.99153978,132.00846
14.7695119,125,-6.5701858,131.570186
14.7899473,128,-3.1338142,131.133814
14.8103826,162,31.3006759,130.699324
14.8308179,121,-9.26669454,130.266695
14.8512532,131,1.16409516,129.835905
14.8716885,122,-7.4069347,129.406935
14.8921238,144,15.0202359,128.979764
14.9125592,119,-9.55437352,128.554374
14.9329945,130,1.86925648,128.130744
14.9534298,116,-11.7088552,127.708855
14.9738651,114,-13.2886898,127.28869
14.9943004,125,-1.87022909,126.870229
15.0147357,119,-7.45345506,126.453455
15.0351711,135,8.96164999,126.03835
15.0556064,128,2.37510339,125.624897
15.0760417,123,-2.21307782,125.213078
15.096477,128,3.19712307,124.802877
15.1169123,123,-1.39427755,124.394278
15.1373476,120,-3.98726359,123.987264
15.157783,124,0.41818069,123.581819
15.1782183,124,0.822070758,123.177929
15.1986536,125,2.22442175,122.775578
15.2190889,121,-1.3747515,122.374752
15.2395242,138,16.0245655,121.975434
15.2599595,126,4.42238705,121.577613
15.2803949,127,5.818727,121.181273
15.3008302,113,-7.78640101,120.786401
15.3212655,116,-4.39298366,120.392984
15.3417008,113,-7.00100793,120.001008
15.3621361,115,-4.61046109,119.610461
15.3825714,101,-18.2213307,119.221331
15.4030068,112,-6.83360459,118.833605
15.4234421,95,-23.4472709,118.447271
15.4438774,122,3.93768188,118.062318
15.4643127,97,-20.6787349,117.678735
15.484748,112,-5.29651018,117.29651
15.5051833,116,-0.915633302,116.915633
15.5256187,109,-7.53609377,116.536094
15.546054,106,-10.1578814,116.157881
15.5664893,119,3.21901371,115.780986
15.5869246,85,-30.4053988,115.405399
15.6073599,99,-16.0311095,115.031109
15.6277952,98,-16.6581093,114.658109
15.6482305,112,-2.2863893,114.286389
15.6686659,121,7.08405904,113.915941
15.6891012,101,-12.5467559,113.546756
15.7095365,105,-8.17882608,113.178826
15.7299718,103,-9.81214359,112.812144
15.7504071,116,3.55329913,112.446701
15.7708424,116,3.91750943,112.082491
15.7912778,83,-28.7195056,111.719506
15.8117131,89,-22.357739,111.357739
15.8321484,115,4.00281568,110.997184
15.8525837,99,-11.637835,110.637835
15.873019,88,-22.279685,110.279685
15.8934543,111,1.0772717,109.922728
15.9138897,100,-9.56695924,109.566959
15.934325,104,-5.21237233,109.212372
15.9547603,112,3.14103769,108.858962
15.9751956,108,-0.506724141,108.506724
15.9956309,102,-6.155653,108.155653
16.0160662,109,1.19425571,107.805744
16.0365016,89,-18.4569943,107.456994
16.0569369,100,-7.10940851,107.109409
16.0773722,95,-11.7630332,106.763033
16.0978075,119,12.5819859,106.418014
16.1182428,91,-15.0747116,106.074712
16.1386781,98,-7.73398159,105.733982
16.1591135,116,10.6020197,105.39798
16.1795488,112,6.92654856,105.073451
16.1999841,114,9.22178152,104.778218
16.2204194,92,-12.489232,104.489232
16.2408547,94,-10.1611469,104.161147
16.26129,74,-29.8287534,103.828753
